,Total DUC,Total US RigCount,U.S. Product Supplied of Crude Oil (Thousand Barrels per Day),U.S. Crude Oil Proved Reserves (Million Barrels),U.S. Field Production of Crude Oil (Thousand Barrels),Crude oil including lease condensate production,"Petroleum and other liquids production, Mexico (thousand barrels per day)",Total Imports,Africa_Imports,Asia_Imports,South America_Imports,Europe_Imports,North America_Imports,Oceania_Imports,Total Exports,Asia_Exports,Europe_Exports,Africa_Exports,North America_Exports,South America_Exports,Oceania_Exports,NYMEX - Light Sweet Crude $/bbl,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),US Offshore
2013-10-31,,1738.0,0.0,33371.0,240567.0,3335.0,2926.0,297863.0,19162.0,67477.0,48015.0,34480.0,128726.0,0.0,126288.0,18606.0,29553.0,5806.0,48370.0,21132.0,267.0,100.7,102124.0,62.0
2013-11-30,,1763.0,0.0,33371.0,237565.0,3468.0,2899.0,281563.0,13007.0,71333.0,47345.0,24079.0,125799.0,0.0,119000.0,16819.0,24951.0,3886.0,49448.0,21430.0,250.0,93.98,108102.0,57.0
2013-12-31,8976.0,1757.0,0.0,33371.0,245904.0,3534.0,2908.0,295719.0,15268.0,75281.0,46605.0,22522.0,136043.0,0.0,142649.0,22000.0,22245.0,5812.0,61054.0,28427.0,700.0,97.92,106827.0,61.0
2014-01-31,9122.0,1785.0,0.0,33371.0,250390.0,3568.0,2882.0,288458.0,9884.0,72993.0,45082.0,20541.0,139732.0,0.0,121251.0,14702.0,20836.0,4847.0,50686.0,26736.0,924.0,94.84,102309.0,57.0
2014-02-28,9690.0,1769.0,0.0,33371.0,227950.0,3578.0,2891.0,256340.0,10237.0,64580.0,45185.0,21335.0,114841.0,0.0,102416.0,12043.0,13317.0,4969.0,50869.0,19402.0,402.0,100.46,95596.0,55.0
2014-03-31,9354.0,1809.0,0.0,33371.0,257189.0,3685.0,2872.0,286934.0,11820.0,74092.0,45087.0,28955.0,126796.0,0.0,123780.0,17317.0,18334.0,4313.0,55627.0,24424.0,686.0,100.68,105440.0,50.0
2014-04-30,9584.0,1861.0,0.0,33371.0,255791.0,3556.0,2865.0,288002.0,15122.0,78451.0,47581.0,28638.0,117875.0,0.0,119225.0,15918.0,23750.0,6121.0,48271.0,22150.0,321.0,102.22,106362.0,54.0
2014-05-31,9626.0,1866.0,0.0,33371.0,267997.0,3467.0,2881.0,291004.0,15468.0,71280.0,44947.0,31430.0,127674.0,0.0,127495.0,14865.0,23297.0,6837.0,55465.0,24475.0,324.0,101.72,111475.0,60.0
2014-06-30,9792.0,1873.0,0.0,33371.0,262251.0,3548.0,2821.0,265109.0,15580.0,65363.0,38900.0,23368.0,121890.0,0.0,124649.0,14257.0,21433.0,4186.0,55639.0,25547.0,357.0,105.18,107406.0,55.0
2014-07-31,9958.0,1883.0,0.0,36385.0,274231.0,3589.0,2767.0,294363.0,14972.0,77444.0,48948.0,26624.0,126375.0,0.0,138382.0,14295.0,25203.0,6328.0,61485.0,25989.0,824.0,102.48,109951.0,60.0
